Lon Lat H AAL
-75.9084 5.7653 1051 65.4
-75.8917 5.7653 1189 86.5
-75.875 5.7653 1559 111.2
-75.8583 5.7653 1777 137.5
-75.8417 5.7653 1805 161.1
-75.825 5.7653 2127 179.4
-75.8083 5.7653 1999 188.8
-75.7917 5.7653 1901 187.6
-75.775 5.7653 1931 175
-75.7584 5.7653 1929 151.8
-75.7417 5.7653 1907 121.4
-75.725 5.7653 1991 86.7
-75.7083 5.7653 1981 53
-75.6917 5.7653 1301 23.1
-75.675 5.7653 997 0.4
-75.6584 5.7653 785 -14.2
-75.6417 5.7653 607 -20.8
-75.625 5.7653 659 -20.3
-75.6083 5.7653 713 -14.6
-75.5917 5.7653 983 -4.7
-75.575 5.7653 1135 8.2
-75.5583 5.7653 843 23.9
-75.5417 5.7653 901 42.3
-75.525 5.7653 1589 63.1
-75.5084 5.7653 1841 85.5
-75.4917 5.7653 2273 108.5
-75.475 5.7653 2267 129.5
-75.4583 5.7653 2111 147.4
-75.4417 5.7653 2293 160.6
-75.425 5.7653 2171 169.2
-75.4084 5.7653 2041 174.4
-75.3917 5.7653 2087 178.4
-75.375 5.7653 1875 183.9
-75.3583 5.7653 2067 192.9
-75.3417 5.7653 2121 206.1
-75.325 5.7653 2273 222.7
-75.3083 5.7653 2263 239.2
-75.2917 5.7653 2317 252.3
-75.275 5.7653 2363 257.5
-75.2584 5.7653 2397 252.3
-75.2417 5.7653 2651 236.1
-75.225 5.7653 2483 210.3
-75.2083 5.7653 1973 179.5
-75.1917 5.7653 1707 147.9
-75.175 5.7653 1593 121.4
-75.1584 5.7653 1541 102.9
-75.1417 5.7653 1607 93.6
-75.125 5.7653 1857 92.3
-75.1083 5.7653 1737 95
-75.0917 5.7653 1839 97.9
-75.075 5.7653 1543 96.2
-75.0583 5.7653 1795 87.8
-75.0417 5.7653 1705 72.4
-75.025 5.7653 1405 51.4
-75.0084 5.7653 1165 28.9
-74.9917 5.7653 931 8.1
-74.975 5.7653 695 -7.3
-74.9583 5.7653 793 -15.9
-74.9417 5.7653 817 -17.9
-74.925 5.7653 713 -15
-74.9084 5.7653 709 -10.3
-74.8917 5.7653 833 -6.2
-74.875 5.7653 647 -4.9
-74.8583 5.7653 619 -7
-74.8417 5.7653 439 -11.8
-74.825 5.7653 393 -18.1
-74.8083 5.7653 419 -24
-74.7917 5.7653 325 -28.7
-74.775 5.7653 239 -31.7
-74.7584 5.7653 207 -33.4
-74.7417 5.7653 203 -35.1
-74.725 5.7653 167 -37.8
-74.7083 5.7653 161 -42.1
-74.6917 5.7653 167 -48
-74.675 5.7653 155 -54.3
-74.6584 5.7653 149 -60
-74.6417 5.7653 159 -63.8
-74.625 5.7653 173 -65.2
-75.9084 5.7488 1151 66
-75.8917 5.7488 1125 87.7
-75.875 5.7488 1479 114.7
-75.8583 5.7488 1901 144.2
-75.8417 5.7488 2109 171.6
-75.825 5.7488 2015 193.5
-75.8083 5.7488 1903 205.6
-75.7917 5.7488 2053 206
-75.775 5.7488 2239 193.9
-75.7584 5.7488 2215 170.2
-75.7417 5.7488 2067 138.4
-75.725 5.7488 2165 101.9
-75.7083 5.7488 1819 66.4
-75.6917 5.7488 1389 34.7
-75.675 5.7488 939 10.5
-75.6584 5.7488 757 -5.5
-75.6417 5.7488 631 -13.3
-75.625 5.7488 615 -14.1
-75.6083 5.7488 635 -9.6
-75.5917 5.7488 755 -1.2
-75.575 5.7488 1083 9.9
-75.5583 5.7488 745 23.4
-75.5417 5.7488 859 39
-75.525 5.7488 1461 56.4
-75.5084 5.7488 1801 74.6
-75.4917 5.7488 2073 92.7
-75.475 5.7488 1941 108.7
-75.4583 5.7488 1735 121.5
-75.4417 5.7488 2131 130.3
-75.425 5.7488 1873 135.7
-75.4084 5.7488 1297 139.5
-75.3917 5.7488 1433 144
-75.375 5.7488 1813 152.1
-75.3583 5.7488 2349 165.5
-75.3417 5.7488 2327 184.2
-75.325 5.7488 2629 206.8
-75.3083 5.7488 2599 229.1
-75.2917 5.7488 2601 247.4
-75.275 5.7488 2661 256.6
-75.2584 5.7488 2565 254.4
-75.2417 5.7488 2675 240
-75.225 5.7488 2255 215.2
-75.2083 5.7488 1967 185
-75.1917 5.7488 1927 153.7
-75.175 5.7488 2035 127.3
-75.1584 5.7488 2043 108.5
-75.1417 5.7488 1935 98.9
-75.125 5.7488 1787 96.8
-75.1083 5.7488 1769 98.4
-75.0917 5.7488 2045 99.8
-75.075 5.7488 1967 96.7
-75.0583 5.7488 2081 87
-75.0417 5.7488 1755 70.6
-75.025 5.7488 1551 49.2
-75.0084 5.7488 1217 26.8
-74.9917 5.7488 1125 6.4
-74.975 5.7488 971 -8.3
-74.9583 5.7488 889 -16.4
-74.9417 5.7488 805 -18.3
-74.925 5.7488 703 -15.7
-74.9084 5.7488 589 -11.7
-74.8917 5.7488 557 -8.5
-74.875 5.7488 475 -8
-74.8583 5.7488 505 -10.6
-74.8417 5.7488 451 -15.6
-74.825 5.7488 403 -21.6
-74.8083 5.7488 391 -27
-74.7917 5.7488 313 -31.1
-74.775 5.7488 239 -33.5
-74.7584 5.7488 217 -35.1
-74.7417 5.7488 183 -36.9
-74.725 5.7488 163 -39.8
-74.7083 5.7488 177 -44.3
-74.6917 5.7488 165 -50.1
-74.675 5.7488 153 -56
-74.6584 5.7488 149 -60.9
-74.6417 5.7488 157 -63.8
-74.625 5.7488 155 -64.3
-75.9084 5.7322 1297 64
-75.8917 5.7322 1161 84.7
-75.875 5.7322 1343 112.3
-75.8583 5.7322 1663 144
-75.8417 5.7322 2123 174.3
-75.825 5.7322 2059 199.3
-75.8083 5.7322 1971 214.2
-75.7917 5.7322 2065 216.6
-75.775 5.7322 2223 205.5
-75.7584 5.7322 2203 181.9
-75.7417 5.7322 2255 149.5
-75.725 5.7322 2151 111.9
-75.7083 5.7322 1581 74.9
-75.6917 5.7322 1207 41.8
-75.675 5.7322 843 15.9
-75.6584 5.7322 661 -1.7
-75.6417 5.7322 733 -11.3
-75.625 5.7322 665 -13.8
-75.6083 5.7322 673 -11.2
-75.5917 5.7322 673 -4.7
-75.575 5.7322 799 4.4
-75.5583 5.7322 681 15.6
-75.5417 5.7322 797 28.5
-75.525 5.7322 1261 42.7
-75.5084 5.7322 1903 57
-75.4917 5.7322 2049 70.7
-75.475 5.7322 1763 82
-75.4583 5.7322 1453 90.1
-75.4417 5.7322 1703 94.9
