Lon Lat H AAL
-74.9084 5.8648 801 -0.2
-74.8917 5.8648 775 1
-74.875 5.8648 545 -0.1
-74.8583 5.8648 411 -4.1
-74.8417 5.8648 485 -10.5
-74.825 5.8648 375 -18.3
-74.8083 5.8648 365 -25.4
-74.7917 5.8648 385 -30.6
-74.775 5.8648 371 -33.1
-74.7584 5.8648 289 -32.9
-74.7417 5.8648 215 -31
-74.725 5.8648 183 -28.8
-74.7083 5.8648 193 -27.8
-74.6917 5.8648 193 -29.1
-74.675 5.8648 175 -32.9
-74.6584 5.8648 155 -39
-74.6417 5.8648 151 -46.1
-74.625 5.8648 153 -53.3
-74.6083 5.8648 155 -59.1
-74.5917 5.8648 161 -63.1
-74.575 5.8648 149 -65
-74.5583 5.8648 149 -65.4
-74.5417 5.8648 157 -65.1
-74.525 5.8648 171 -64.9
-74.5084 5.8648 189 -65.5
-74.4917 5.8648 189 -67.5
-74.475 5.8648 191 -70.7
-74.4583 5.8648 197 -74.9
-74.4417 5.8648 209 -79.6
-74.425 5.8648 235 -83.9
-74.4084 5.8648 261 -87
-74.3917 5.8648 263 -88.1
-74.375 5.8648 251 -86.3
-74.3583 5.8648 237 -81.1
-74.3417 5.8648 291 -72.4
-74.325 5.8648 459 -60.6
-74.3083 5.8648 807 -46.8
-74.2917 5.8648 1107 -32.6
-74.275 5.8648 849 -20.3
-74.2584 5.8648 981 -11.7
-74.2417 5.8648 1003 -8.8
-74.225 5.8648 905 -12.5
-74.2083 5.8648 623 -22.5
-74.1917 5.8648 583 -37.7
-74.175 5.8648 833 -55.2
-74.1584 5.8648 553 -72.6
-74.1417 5.8648 467 -86.2
-74.125 5.8648 633 -94.1
-74.1083 5.8648 531 -94.4
-74.0917 5.8648 509 -86.9
-74.075 5.8648 707 -72.5
-74.0583 5.8648 529 -52.4
-74.0417 5.8648 565 -28.9
-74.025 5.8648 929 -3.2
-74.0084 5.8648 1453 22.6
-73.9917 5.8648 1979 48.1
-73.975 5.8648 2121 72
-73.9583 5.8648 2291 94.1
-73.9417 5.8648 2451 113.4
-73.925 5.8648 2445 129.1
-73.9084 5.8648 2551 140.1
-73.8917 5.8648 2617 145.7
-73.875 5.8648 2611 145.2
-73.8583 5.8648 2677 138.9
-73.8417 5.8648 2647 128.4
-73.825 5.8648 2217 115.1
-73.8083 5.8648 1901 101.9
-73.7917 5.8648 1831 90.5
-73.775 5.8648 1857 83
-73.7584 5.8648 1729 79.9
-73.7417 5.8648 1707 80.8
-73.725 5.8648 1699 84.5
-73.7083 5.8648 1739 89
-73.6917 5.8648 1689 92.8
-73.675 5.8648 1655 94.8
-73.6584 5.8648 1723 94.6
-73.6417 5.8648 1775 93.2
-73.625 5.8648 1889 91.9
-73.6083 5.8648 2043 92.4
-73.5917 5.8648 1871 96
-73.575 5.8648 1705 103.2
-73.5583 5.8648 1803 113.4
-73.5417 5.8648 1927 124.9
-73.525 5.8648 1957 136.1
-73.5084 5.8648 2097 144.6
-73.4917 5.8648 2175 149.3
-73.475 5.8648 2333 150
-73.4583 5.8648 2493 147.3
-73.4417 5.8648 2331 143.5
-73.425 5.8648 2275 140.6
-73.4084 5.8648 2225 141.1
-73.3917 5.8648 2157 146.2
-73.375 5.8648 2133 156.1
-73.3583 5.8648 2245 169.8
-73.3417 5.8648 2393 184.9
-73.325 5.8648 2633 199
-73.3083 5.8648 2579 209.5
-73.2917 5.8648 2913 215.1
-73.275 5.8648 2933 215.5
-73.2584 5.8648 2649 211.8
-73.2417 5.8648 2435 206.7
-73.225 5.8648 2613 202.4
-73.2083 5.8648 2795 201.8
-73.1917 5.8648 2855 206
-73.175 5.8648 2805 215.2
-73.1584 5.8648 2799 228.1
-73.1417 5.8648 2967 241.8
-73.125 5.8648 3239 254.2
-73.1083 5.8648 3285 262.3
-73.0917 5.8648 3291 265.2
-73.075 5.8648 3067 262.9
-73.0583 5.8648 3167 256.8
-73.0417 5.8648 2957 249.8
-73.025 5.8648 2833 244
-73.0084 5.8648 2777 241.6
-72.9917 5.8648 2739 242.9
-72.975 5.8648 2837 246.7
-72.9583 5.8648 2719 250.9
-72.9417 5.8648 2601 251.9
-72.925 5.8648 2581 247.5
-74.9084 5.8482 603 -1.3
-74.8917 5.8482 637 0.8
-74.875 5.8482 409 0.3
-74.8583 5.8482 397 -3.6
-74.8417 5.8482 495 -10
-74.825 5.8482 375 -18
-74.8083 5.8482 383 -25.4
-74.7917 5.8482 411 -30.9
-74.775 5.8482 361 -33.6
-74.7584 5.8482 259 -33.8
-74.7417 5.8482 195 -32.4
-74.725 5.8482 181 -30.9
-74.7083 5.8482 171 -31
-74.6917 5.8482 163 -33.4
-74.675 5.8482 159 -38.2
-74.6584 5.8482 155 -44.9
-74.6417 5.8482 149 -52.1
-74.625 5.8482 151 -58.6
-74.6083 5.8482 149 -63.2
-74.5917 5.8482 167 -65.4
-74.575 5.8482 163 -65.6
-74.5583 5.8482 163 -64.4
-74.5417 5.8482 153 -63.2
-74.525 5.8482 159 -62.7
-74.5084 5.8482 167 -63.7
-74.4917 5.8482 181 -66.5
-74.475 5.8482 197 -70.8
-74.4583 5.8482 215 -75.9
-74.4417 5.8482 205 -81
-74.425 5.8482 233 -85.1
-74.4084 5.8482 257 -87.4
-74.3917 5.8482 267 -87.2
-74.375 5.8482 273 -84.1
-74.3583 5.8482 243 -77.8
-74.3417 5.8482 287 -68.4
-74.325 5.8482 441 -56.5
-74.3083 5.8482 767 -43.1
-74.2917 5.8482 847 -29.6
-74.275 5.8482 1045 -18.2
-74.2584 5.8482 1179 -10.5
-74.2417 5.8482 937 -8.4
-74.225 5.8482 683 -12.6
-74.2083 5.8482 573 -22.9
-74.1917 5.8482 681 -38.3
-74.175 5.8482 665 -55.9
-74.1584 5.8482 615 -73.4
-74.1417 5.8482 511 -87.1
-74.125 5.8482 843 -95.1
-74.1083 5.8482 665 -95.5
